city,library,msIdentifier,msItem,extent,Diktyon,origDate_notBefore,origDate_notAfter,affiliation_naoumides,note,studied
Grottaferrata,Biblioteca Statale,Z.α.V,,ff. 1-109v,17962,900,1000,rec. g,,yes
Grottaferrata,Biblioteca Statale,Z.α.VI,,entire manuscript,17963,,,rec. v,,yes
Grottaferrata,Biblioteca Statale,Z.α.VII,,entire manuscript,17964,,,NOT Cyrillus but with some Cyr. glosses,,yes
Grottaferrata,Biblioteca Statale,Z.α.XXX,,entire manuscript,17976,900,1000,rec. v,,yes
Istanbul,Topkapi Sarayi Müzesi Kütüphanesi,4,,ff. 9-510v,33949,1400,1500,questionable affiliation: Zonaras?,,yes
Istanbul,Topkapi Sarayi Müzesi Kütüphanesi,14,,entire manuscript,33960,1300,1500,independ. ms.,,yes
Istanbul,Πατριαρχική Βιβλιοθήκη Παναγίας Καμαριωτίσσης,68,,ff. 1-129,33713,1300,1325,questionable affiliation,,yes
Jerusalem,Πατριαρχική Βιβλιοθήκη,Sabb. 137,,entire manuscript,34394,1300,1500,independ. ms.,,yes
Jerusalem,Πατριαρχική Βιβλιοθήκη,Sabb. 510,,entire manuscript,34767,1600,1700,NOT CYR.,,no
Kephalonia,Μονή Γερασίμου ,3,,1r-75r,36789,1100,1200,rec. v,,no
Kozani (Macedonia),Κοβεντάρειος Δημοτική Βιβλιοθήκη,80,,3r-63v,36986,1450,1550,rec. g,,no
Krakow,Biblioteka Jagiellońska,"Berlin, graec. 4°.69 (371)",,1r-84r,9238,1516,1517,,,no
Leeuwarden,Tresoar,Fries Historisch en Letterkundig Centrum,38,entire manuscript,37618,1100,1200,rec. g,,yes
Leiden,Bibliotheek der Rijksuniversiteit,BPL 494,,entire manuscript,,1700,1740,rec. v,,yes
Leiden,Bibliotheek der Rijksuniversiteit,Voss. gr. Q 18,,ff. 110r-111r,38125,1400,1800,questionable affiliation,,yes
Leiden,Bibliotheek der Rijksuniversiteit,Voss. Gr. Q 63,,ff. 1r-152r,38170,1100,1200,rec. v,,yes
Leiden,Bibliotheek der Rijksuniversiteit,Voss. Misc. 1,,XVIII.1-2V,38188,1500,1700,NOT CYR. - Zonaras (fragm.),,yes
London,British Library,Harley 6510,,ff. 37r-54r,39719,1400,1500,rec. g,fragm.,no
London,British Library,Add. 14773,,entire manuscript,38903,1400,1500,rec. g,,no
Madrid,Biblioteca Universitaria Complutense,30 (116-Z-22),,ff. 1r-222r,40406,900,1000,rec. g,,yes
Messina,Biblioteca Regionale Universitaria 'Giacomo Longo',S. Salvatore 132,,ff. 1-173,40793,1300,1400,rec. g,,yes
Messina,Biblioteca Regionale Universitaria 'Giacomo Longo',S. Salvatore 167 (only until μήδεα),,entire manuscript,40828,1200,1300,rec. n,,yes
Messina,Biblioteca Regionale Universitaria 'Giacomo Longo',S. Salvatore 167 (only from μήδεα),,entire manuscript,40828,1200,1300,rec. g,,yes
Meteora,Μονή Μεταμορφώσεως,535,,entire manuscript,41945,1300,1400,,,no
Meteora,Μονή Μεταμορφώσεως,577,,5v-105v,41987,1300,1400,Zonaras,,no
Milan,Veneranda Biblioteca Ambrosiana,B 12 Sup.,,entire manuscript,42303,900,1100,independ. ms.,,yes
Milan,Veneranda Biblioteca Ambrosiana,B 46 Sup.,,entire manuscript,42312,1300,1400,rec. v,,yes
Milan,Veneranda Biblioteca Ambrosiana,F 1 Sup.,,ff. 7-185,42732,1300,1400,rec. g,,yes
Milan,Veneranda Biblioteca Ambrosiana,G 15 Sup.,,ff. 1r-64v,42800,1300,1400,rec. g,,yes
Milan,Veneranda Biblioteca Ambrosiana,G 27 Inf.,,f. II,42805,1300,1600,questionable affiliation (fragm.),attributed to Cyril in the title,yes
